,theta,coef,se,confint_l,confint_u,abs_bias,sq_error,cover,level,ci_width,nuis_rmse_ml_l,nuis_rmse_ml_m,orcl_rmse_ml_l,orcl_rmse_ml_m,alpha_ml_l,alpha_ml_m,i_rep,date,rho,R2_y,R2_d,design
9718,0.5,0.6564049800582028,0.18142000256418078,0.3008283089572442,1.0119816511591613,0.1564049800582028,0.024462517787006817,1,0.95,0.7111533422019171,2.1323872500584837,1.2102593011083935,1.5092393820740975,0.9370958112236186,1.0304442014351747,0.007170660521452572,97,2023-02-23,0.6,0.8,0.8,2a
9719,0.5,0.6252404282661314,0.17383013481936846,0.28453962459242715,0.9659412319398355,0.12524042826613135,0.015685164872283993,1,0.95,0.6814016073474083,2.1323872500584837,1.234586051096516,1.5092393820740975,0.9370958112236186,1.0304442014351747,0.003568854638709545,97,2023-02-23,0.6,0.8,0.8,2a
9720,0.5,0.44949021400875766,0.08760266362357338,0.2777921483567767,0.6211882796607386,0.05050978599124234,0.002551238480881101,1,0.95,0.34339613130396196,1.573188170789144,1.9225014370487636,1.5092393820740975,0.9370958112236186,0.5128545072272247,1.9045903806688296,97,2023-02-23,0.6,0.8,0.8,2a
9721,0.5,0.5973213743544854,0.1122708632980454,0.37727452577709664,0.8173682229318742,0.0973213743544854,0.009471449906245889,1,0.95,0.44009369715477753,1.573188170789144,1.4922342544062535,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.9479191204989035,97,2023-02-23,0.6,0.8,0.8,2a
9722,0.5,0.7614162013570593,0.1349390885792719,0.4969404476350263,1.0258919550790924,0.26141620135705934,0.0683384303319546,1,0.95,0.528951507444066,1.573188170789144,1.1393500435736774,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.47178157998040104,97,2023-02-23,0.6,0.8,0.8,2a
9723,0.5,0.7884281092915525,0.14105572886085743,0.5119639609112249,1.0648922576718802,0.2884281092915525,0.08319077422949975,0,0.95,0.5529282967606554,1.573188170789144,1.0137030311406279,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.23480680407802892,97,2023-02-23,0.6,0.8,0.8,2a
9724,0.5,0.7961066486557162,0.14747414497374525,0.5070626358563368,1.0851506614550956,0.29610664865571623,0.08767914737811977,0,0.95,0.5780880255987588,1.573188170789144,0.9440897892448511,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.11686389969618632,97,2023-02-23,0.6,0.8,0.8,2a
9725,0.5,0.841825517400465,0.14861581223880646,0.5505438778792373,1.1331071569216926,0.34182551740046496,0.11684468434609557,0,0.95,0.5825632790424553,1.573188170789144,0.9317196239022328,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.058163438260766365,97,2023-02-23,0.6,0.8,0.8,2a
9726,0.5,0.7761629913488307,0.13456266945638126,0.5124250055507555,1.0399009771469059,0.2761629913488307,0.07626599779073434,0,0.95,0.5274759715961503,1.573188170789144,1.017290420067945,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.02894808028064101,97,2023-02-23,0.6,0.8,0.8,2a
9727,0.5,0.627817673523434,0.13243434029259632,0.3682511362336235,0.8873842108132445,0.12781767352343398,0.016337357664943156,1,0.95,0.519133074579621,1.573188170789144,1.1389433194219503,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.014407527769892802,97,2023-02-23,0.6,0.8,0.8,2a
9728,0.5,0.5727491927682308,0.12747418173032143,0.32290438761808704,0.8225939979183745,0.07274919276823077,0.0052924450484292005,1,0.95,0.49968961030028747,1.573188170789144,1.2102593011083935,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.007170660521452572,97,2023-02-23,0.6,0.8,0.8,2a
9729,0.5,0.5508519130678018,0.12129959237325937,0.313109080676824,0.7885947454587796,0.05085191306780179,0.0025859170626552704,1,0.95,0.4754856647819556,1.573188170789144,1.234586051096516,1.5092393820740975,0.9370958112236186,0.5128545072272247,0.003568854638709545,97,2023-02-23,0.6,0.8,0.8,2a
9730,0.5,0.3301631866125664,0.0791576888214752,0.17501696742304615,0.4853094058020866,0.16983681338743362,0.02884454318159795,0,0.95,0.3102924383790404,1.4153622486250221,1.9225014370487636,1.5092393820740975,0.9370958112236186,0.2552488967543829,1.9045903806688296,97,2023-02-23,0.6,0.8,0.8,2a
9731,0.5,0.4606047193177194,0.1007433199518016,0.2631514405291928,0.658057998106246,0.0393952806822806,0.0015519881400356708,1,0.95,0.3949065575770532,1.4153622486250221,1.4922342544062535,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.9479191204989035,97,2023-02-23,0.6,0.8,0.8,2a
9732,0.5,0.6379766181330158,0.11886387905346393,0.4050076961255015,0.8709455401405299,0.13797661813301576,0.019037547151424052,1,0.95,0.4659378440150284,1.4153622486250221,1.1393500435736774,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.47178157998040104,97,2023-02-23,0.6,0.8,0.8,2a
9733,0.5,0.705708846125035,0.12289392470995375,0.4648411797747487,0.9465765124753214,0.20570884612503504,0.04231612937409334,1,0.95,0.48173533270057267,1.4153622486250221,1.0137030311406279,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.23480680407802892,97,2023-02-23,0.6,0.8,0.8,2a
9734,0.5,0.7447127696269745,0.1264910144677056,0.4967949369023366,0.9926306023516125,0.24471276962697452,0.05988433961850471,1,0.95,0.4958356654492759,1.4153622486250221,0.9440897892448511,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.11686389969618632,97,2023-02-23,0.6,0.8,0.8,2a
9735,0.5,0.798911973300746,0.12658364055020024,0.5508125967903896,1.0470113498111024,0.29891197330074604,0.08934836778254591,0,0.95,0.4961987530207128,1.4153622486250221,0.9317196239022328,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.058163438260766365,97,2023-02-23,0.6,0.8,0.8,2a
9736,0.5,0.7512150485767346,0.11522770094960043,0.525372904694166,0.9770571924593032,0.2512150485767346,0.06310900063141113,0,0.95,0.45168428776513725,1.4153622486250221,1.017290420067945,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.02894808028064101,97,2023-02-23,0.6,0.8,0.8,2a
9737,0.5,0.6188384117789122,0.11382216786786688,0.39575106211562094,0.8419257614422034,0.11883841177891219,0.014122568114134296,1,0.95,0.4461746993265825,1.4153622486250221,1.1389433194219503,1.5092393820740975,0.9370958112236186,0.2552488967543829,0.014407527769892802,97,2023-02-23,0.6,0.8,0.8,2a
