"","fname","DGPid","Y.cont","bias","rel.bias","sd","rel.sd","rMSE","coverage","CIwidth"
"476","psc",52,0,-0.105308481188418,19.2688940312392,0.0364166336960109,1.3983938384294,0.111367794751729,0.04,0.04604306939777
"477","psc",53,0,-0.135711054400907,191.264634513069,0.0167988539605873,0.776622233194095,0.136736497563932,0,0.028929178738561
"478","psc",54,0,-0.104606854670682,24.738979322916,0.0314512818912101,2.23159423274301,0.109187386383993,0,0.0514460114432
"479","psc",55,0,-0.016370562555923,19.7887628645865,0.0305518402475,2.38266347622116,0.0345264552405987,0.56,0.066340441699
"480","psc",56,0,0.059484212454958,286.700656374734,0.0342041234589312,2.47005668400609,0.0685317034106438,0.22,0.07041412352949
"481","rfdripw",1,1,0.00663776977226999,0.445655265378096,0.148512173981808,1.12699653659739,0.147916757502808,0.92,0.552031494306356
"482","rfdripw",2,1,0.15958163917,689.790620872034,0.0769980193290526,1.0953416760974,0.177018946983014,0.39,0.263298737441
"483","rfdripw",3,1,0.179897764624001,5746.8292098553,0.0835641153068866,1.13216546510286,0.198182586192796,0.3,0.285288268923
"484","rfdripw",4,1,0.10644022227,10.5834368243107,0.0594643027897822,1.09878558684255,0.121779161559354,0.48,0.2154496372
"485","rfdripw",5,1,-0.093739973598612,3.66253978862746,0.434670425702142,1.00254486727672,0.442533815476907,0.94,0.78972286000013
"486","rfdripw",6,1,-0.22351192537037,26.9025396295441,0.424521114040565,1.17302817445168,0.477884479018047,0.86,1.2526535894746
"487","rfdripw",7,1,0.1558127230962,93.2560951998992,0.0792981238132133,1.55178333405866,0.174650837944013,0.26,0.230589852929098
"488","rfdripw",8,1,0.02142343715358,0.593506307297171,0.0200052282186347,1.05033300495263,0.0292433022073817,0.79,0.08332234857
"489","rfdripw",9,1,-0.1267031502183,12.3179806194958,0.182063761513008,0.887862995762998,0.221064310549993,0.84,0.6460029988
"490","rfdripw",10,1,-1.2106956937975,2310.99889889821,0.12543480906956,1.03999378384335,1.21711158707526,0,0.42112751013
"491","rfdripw",11,1,5.7951904571329,31.4484813073354,0.453039292935514,3.3154375412638,5.81269512269294,0,1.7730993074
"492","rfdripw",12,1,0.2057869113327,2.93342443423365,0.37376131051818,0.437792840637311,0.425027993129532,0.84,1.040263941301
"493","rfdripw",13,1,0.030560567667145,41.366979566967,0.0425041566552056,1.05856545693977,0.0521774433618466,0.78,0.154439058304
"494","rfdripw",14,1,-1.5004654562488,1.75483986099148,2.41929957061106,1.20108138235645,2.83652549673561,0.87,9.1554730612
"495","rfdripw",15,1,0.218604096801372,359.007800524045,0.0425437764169218,1.67171858462342,0.222664825064577,0,0.163090947490993
"496","rfdripw",16,1,0.18283589063,577.686270347173,0.15749196825782,2.84608458838531,0.240800011975769,0.65,0.511137141312
"497","rfdripw",25,0,0.025792971107019,48.0765488380013,0.01777286456355,1.03562961226996,0.0312728848393279,0.63,0.059470512574
"498","rfdripw",26,0,0.013176791347714,13.2848540088656,0.0202942566154378,1.06298344139978,0.0241115348594547,0.74,0.064501353205
"499","rfdripw",27,0,0.010183043950721,2.98356709949666,0.0215557916215462,0.923968614269147,0.0237423675106237,0.82,0.066749368315
"500","rfdripw",28,0,0.041603305837554,70.205664383874,0.018731344382505,0.905693171820174,0.0455871658075526,0.28,0.060909376148
"501","rfdripw",45,0,0.016848045545636,16.502401160863,0.0190855953846858,0.83180607562262,0.0253864922819968,0.81,0.0705182038899
"502","rfdripw",46,0,0.030635575733382,11.4845396412149,0.0224235371627031,1.07143080982215,0.0378988834824199,0.56,0.075982594638
"503","rfdripw",47,0,0.02927751805908,9.82782703202407,0.0204187450300383,1.05028103362996,0.0356360626446785,0.64,0.071544879977
