,coef,2.5%,97.5%,tune_loss_mll,tune_loss_mlm,est_mll,est_mlm,config_mll,config_mlm,loss_Y,fs_loss_mll,fs_loss_mlm
18,0.9160581813450205,0.770308430207059,1.0618079324829819,1.3825065281045446,0.6270323255482841,lgbm,xgb_limitdepth,"{'n_estimators': 45, 'num_leaves': 7, 'min_child_samples': 8, 'learning_rate': 0.2816031048551556, 'log_max_bin': 9, 'colsample_bytree': 0.583257704633757, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.05826642807753712}","{'n_estimators': 13, 'max_depth': 6, 'min_child_weight': 5.627878536669473, 'learning_rate': 0.10540392636208407, 'subsample': 0.9586805189843034, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.9176367478706113, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.1384756915097827}",1.490037927318811,1.5429777832999896,0.6943035947529108
19,0.686050148984397,0.5585901729380556,0.8135101250307384,1.137239138871522,0.6181244801035991,lgbm,xgb_limitdepth,"{'n_estimators': 37, 'num_leaves': 14, 'min_child_samples': 9, 'learning_rate': 0.5757541758331208, 'log_max_bin': 7, 'colsample_bytree': 0.9106945171498108, 'reg_alpha': 0.03578409361972219, 'reg_lambda': 88.3022575199036}","{'n_estimators': 19, 'max_depth': 7, 'min_child_weight': 0.30252694022269544, 'learning_rate': 0.8223013388812833, 'subsample': 0.7566562178316142, 'colsample_bylevel': 0.9772893004265926, 'colsample_bytree': 0.9829872618824868, 'reg_alpha': 0.6283187301826143, 'reg_lambda': 7.4333991407972135}",1.4110568229978553,1.5290766538618377,0.8844579304255415
20,0.8713694953334689,0.7472367477670788,0.9955022428998589,0.9507198282481341,0.6451171662877587,lgbm,xgboost,"{'n_estimators': 9, 'num_leaves': 4, 'min_child_samples': 10, 'learning_rate': 0.3375684785100051, 'log_max_bin': 5, 'colsample_bytree': 0.7658032688069535, 'reg_alpha': 0.0016405873592398128, 'reg_lambda': 0.004767297662366191}","{'n_estimators': 5, 'max_leaves': 4, 'min_child_weight': 2.7285999673565633, 'learning_rate': 0.9118607749733061, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0027540356521178005, 'reg_lambda': 0.09744753317898837}",1.2571812765530672,1.3624833803026282,0.7497428426014037
21,0.7168482710663941,0.5788611083540783,0.85483543377871,1.1415143953049576,0.6416443441665024,lgbm,extra_tree,"{'n_estimators': 83, 'num_leaves': 8, 'min_child_samples': 5, 'learning_rate': 0.16523708669369835, 'log_max_bin': 9, 'colsample_bytree': 1.0, 'reg_alpha': 0.33249775343051974, 'reg_lambda': 0.03077818675297322}","{'n_estimators': 14, 'max_features': 0.07557317661847589, 'max_leaves': 47, 'criterion': 'entropy'}",1.3186507138413825,1.353097497287446,0.6776175313136815
22,0.9108865748794377,0.769781428854889,1.0519917209039864,1.3002560402075252,0.6590454856619428,lgbm,rf,"{'n_estimators': 8, 'num_leaves': 4, 'min_child_samples': 19, 'learning_rate': 0.676258242484709, 'log_max_bin': 10, 'colsample_bytree': 0.5265798099800674, 'reg_alpha': 0.1460400945607191, 'reg_lambda': 0.2374913790526942}","{'n_estimators': 4, 'max_features': 0.11642935148968346, 'max_leaves': 5, 'criterion': 'gini'}",1.5043021791213222,1.508865526271352,0.6932180426509393
23,0.7492992339696342,0.6038289931708215,0.8947694747684468,1.0314700887409756,0.6010635921768114,lgbm,xgb_limitdepth,"{'n_estimators': 58, 'num_leaves': 5, 'min_child_samples': 34, 'learning_rate': 0.22914872549886187, 'log_max_bin': 7, 'colsample_bytree': 0.9226980609562929, 'reg_alpha': 0.04955405121956222, 'reg_lambda': 1.9972152569689516}","{'n_estimators': 35, 'max_depth': 5, 'min_child_weight': 3.7280962245690725, 'learning_rate': 0.16643333157982768, 'subsample': 0.9743840464694707, 'colsample_bylevel': 0.462354431438145, 'colsample_bytree': 0.6622398633289289, 'reg_alpha': 0.009792086504438635, 'reg_lambda': 3.9793589498426174}",1.4588786667672224,1.5013541326455122,0.7168813846677303
24,0.7950235942240846,0.6563541693851983,0.933693019062971,1.126328276357878,0.6484631882870898,extra_tree,xgb_limitdepth,"{'n_estimators': 4, 'max_features': 0.9586055955836026, 'max_leaves': 9}","{'n_estimators': 30, 'max_depth': 6, 'min_child_weight': 2.8158300464240953, 'learning_rate': 0.06899793003925356, 'subsample': 0.9216351970976798, 'colsample_bylevel': 0.446746125776155, 'colsample_bytree': 0.7648223976257724, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.5847409283029706}",1.3883320544339468,1.4119433782401203,0.6929750170537314
25,0.7802346929171354,0.6408343233997519,0.919635062434519,1.2869981962397068,0.6275734486177068,xgboost,rf,"{'n_estimators': 15, 'max_leaves': 4, 'min_child_weight': 11.49770077681118, 'learning_rate': 0.35237417247598457, 'subsample': 0.9474137669320228, 'colsample_bylevel': 0.9302633112363701, 'colsample_bytree': 0.7838382078579851, 'reg_alpha': 0.0022279445811163906, 'reg_lambda': 0.726867708662409}","{'n_estimators': 4, 'max_features': 0.09473817976362822, 'max_leaves': 8, 'criterion': 'entropy'}",1.3104266587496145,1.3622411518487465,0.6942829845464585
26,0.811738864863607,0.6755922795350333,0.9478854501921807,1.1457007783083548,0.5915418363903292,lgbm,lgbm,"{'n_estimators': 12, 'num_leaves': 4, 'min_child_samples': 31, 'learning_rate': 0.584448673141259, 'log_max_bin': 10, 'colsample_bytree': 1.0, 'reg_alpha': 0.05487013819006958, 'reg_lambda': 12.265301150006868}","{'n_estimators': 95, 'num_leaves': 9, 'min_child_samples': 19, 'learning_rate': 0.10388093466170485, 'log_max_bin': 9, 'colsample_bytree': 0.7974633804549807, 'reg_alpha': 0.06398308461467997, 'reg_lambda': 0.8717644975966844}",1.2921926936215056,1.3632678684081765,0.6891301164777341
27,1.0144183377370182,0.8818972026970995,1.1469394727769369,1.4584594870251464,0.6313647312276504,lgbm,xgb_limitdepth,"{'n_estimators': 37, 'num_leaves': 10, 'min_child_samples': 9, 'learning_rate': 0.12048236766420453, 'log_max_bin': 10, 'colsample_bytree': 0.8479754977217039, 'reg_alpha': 0.018084154660609874, 'reg_lambda': 0.002080385043014518}","{'n_estimators': 4, 'max_depth': 6, 'min_child_weight': 8.223193742793304, 'learning_rate': 0.7710523687412187, 'subsample': 1.0, 'colsample_bylevel': 1.0, 'colsample_bytree': 0.698770187054786, 'reg_alpha': 0.023756677055818545, 'reg_lambda': 55.0443952216803}",1.3350605583787212,1.3742303272955025,0.6784633522417223
